"","bathrooms","bedrooms","price","response","generalKey","day_since_created","Position_Label","dishwasher","doorman","elevator","hardwood","laundry","allowed.cats","cats.allowed","dogs.allowed","fitness.center"
"174",2,3,5000,2,174,435,"1",1,1,1,1,2,1,1,1,0
"175",1,1,1675,2,175,454,"6",0,1,1,0,0,0,1,1,0
"176",2,2,6200,2,176,438,"2",0,1,1,1,1,1,1,1,1
"177",1,2,2500,2,177,449,"7",1,0,1,1,0,1,1,1,0
"178",1,3,4750,3,178,437,"1",0,0,0,1,0,0,0,0,0
"179",1,1,1700,3,179,382,"6",0,0,0,0,0,0,1,0,0
"180",1,0,2850,2,180,387,"5",0,0,1,1,0,0,0,0,0
"181",1,0,3035,2,181,452,"2",1,1,1,1,2,1,1,1,1
"182",1,1,3100,2,182,460,"5",0,0,0,1,1,0,0,0,0
"183",1,1,3195,1,183,455,"1",1,0,1,1,1,1,1,1,0
"184",1,2,3450,2,184,435,"1",0,1,1,1,1,0,0,0,0
"185",1,1,1895,3,185,443,"5",0,0,0,0,0,0,1,1,0
"186",1,1,2600,2,186,443,"5",0,1,0,0,0,0,0,0,1
"187",1,1,3175,2,187,449,"1",0,1,0,0,0,1,1,1,1
"188",1,1,2600,2,188,457,"1",1,0,0,1,0,0,0,0,0
"189",1,2,3025,2,189,440,"2",1,1,1,1,2,0,0,0,1
"190",1,1,3790,2,190,451,"5",0,1,1,1,1,0,0,0,1
"191",1,2,4600,2,191,437,"5",0,0,0,0,0,0,0,0,0
"192",1,3,4450,2,192,458,"5",1,1,1,1,1,0,0,0,1
"193",1,3,3200,3,193,434,"1",1,0,0,1,0,1,1,1,0
"194",1,1,2769,3,194,454,"2",0,1,1,0,2,0,1,1,1
"195",1,1,3800,2,195,457,"1",1,0,1,1,0,0,0,0,0
"196",1,2,2595,2,196,447,"1",0,0,0,1,0,0,1,0,0
"197",1,1,3775,2,197,455,"1",0,1,1,0,0,1,1,1,0
"198",1,2,1895,2,198,456,"7",0,0,0,0,0,1,1,1,0
"199",2,3,4700,2,199,451,"1",1,1,1,1,1,1,1,1,1
"200",1,2,3495,2,200,438,"1",1,0,1,1,1,0,0,0,0
"201",1,1,2800,2,201,448,"5",0,0,0,0,0,1,1,1,0
"202",1,1,3050,2,202,437,"1",0,1,1,0,0,1,1,1,0
"203",2,3,2300,2,203,382,"6",1,0,0,0,0,0,0,0,0
"204",1,1,2975,2,204,452,"1",1,1,1,1,2,1,1,1,0
"205",1,2,3150,3,205,445,"2",0,1,1,0,1,0,1,1,1
"206",2.5,3,15500,2,206,451,"1",1,1,1,0,1,0,1,1,1
"207",1,2,3300,2,207,456,"2",1,1,0,1,0,1,1,1,1
"208",2,3,8200,2,208,451,"5",1,0,0,1,0,0,0,0,0
"209",1,2,3276,3,209,440,"1",1,1,1,1,1,0,0,0,0
"210",1,4,5800,1,210,456,"1",0,0,0,0,0,0,0,0,0
"211",1,1,4030,2,211,455,"1",0,1,1,0,0,0,1,1,1
"212",1,1,3129,3,212,437,"1",1,1,1,1,2,1,1,1,0
"213",1.5,3,4400,2,213,437,"1",1,1,1,1,1,1,1,1,1
"214",1,3,2950,3,214,441,"5",0,0,0,0,1,0,1,1,0
"215",1,3,4899,3,215,436,"1",1,0,0,0,0,0,1,1,0
"216",1,1,3195,2,216,456,"1",0,0,0,1,1,0,0,0,0
"217",1,0,2300,3,217,438,"5",0,1,1,0,0,1,1,1,0
"218",1,2,3500,2,218,437,"1",1,0,0,1,0,1,1,1,0
"219",1,2,3250,3,219,455,"1",1,0,0,1,1,0,0,0,0
"220",1,0,1350,1,220,391,"6",0,0,1,1,0,1,1,1,0
"221",1,0,2500,2,221,451,"1",0,1,1,0,1,0,1,1,0
"222",1,1,2450,2,222,444,"5",1,0,0,0,0,0,1,0,0
"223",1,0,2400,2,223,443,"5",0,0,1,1,1,1,1,1,0
"224",1,2,2800,3,224,460,"1",0,0,0,0,0,0,0,0,0
"225",1,0,2600,2,225,440,"1",1,1,1,0,1,1,1,1,1
"226",2,3,5100,3,226,452,"1",1,0,0,1,1,1,1,1,0
"227",1,2,3600,2,227,443,"1",0,0,0,1,0,0,0,0,0
"228",1,1,1800,1,228,435,"1",0,0,0,0,0,0,0,0,0
"229",1,1,2300,2,229,451,"5",0,1,1,0,1,0,0,0,0
"230",1,1,2295,2,230,437,"5",0,0,0,0,0,0,0,0,0
"231",1,1,3138,2,231,451,"5",1,1,1,0,2,0,1,1,1
"232",1,3,3750,2,232,449,"5",1,0,0,1,1,1,1,1,0
"233",1,2,3097,2,233,452,"2",1,1,0,1,1,1,1,1,1
"234",1,2,2495,1,234,459,"5",0,0,0,1,0,0,0,0,0
"235",1.5,1,3400,2,235,445,"5",0,1,1,0,0,0,1,1,0
"236",1,0,3156,2,236,382,"2",0,1,0,0,0,0,1,1,0
"237",2,2,6500,2,237,436,"2",1,1,1,1,0,1,1,1,0
"238",1,1,2830,3,238,444,"1",1,1,1,0,1,0,0,0,0
"239",1,2,3400,1,239,437,"1",1,1,1,1,2,0,1,1,1
"240",1,1,1475,1,240,455,"2",1,0,1,1,0,0,1,0,0
"241",0,0,2195,2,241,391,"2",0,0,0,0,0,0,0,0,0
"242",1,0,1795,1,242,445,"5",0,0,1,0,0,0,0,0,0
"243",1,2,2900,3,243,452,"5",1,1,1,1,1,1,1,1,1
"244",1,1,3250,2,244,442,"1",1,1,1,0,1,1,1,1,1
"245",1,0,3125,2,245,460,"1",1,0,1,0,1,0,1,1,0
"246",1,1,2695,3,246,458,"1",1,1,1,1,2,0,0,0,0
"247",2,2,3000,3,247,459,"2",0,0,1,0,1,0,0,0,0
"248",1,2,3995,2,248,387,"2",1,1,1,1,2,1,1,1,1
"249",1,3,4725,2,249,452,"1",0,0,0,1,0,0,0,0,0
"250",2,4,5800,2,250,459,"1",1,1,1,1,1,0,0,0,1
"251",1,1,3795,3,251,453,"1",1,0,0,1,1,1,1,1,0
"252",1,2,3695,2,252,443,"1",0,0,0,0,0,1,1,1,0
"253",1,2,3100,2,253,434,"1",1,1,1,1,2,0,0,0,0
"254",2,3,6150,2,254,443,"1",1,1,1,1,1,0,0,0,0
"255",1,1,2700,2,255,434,"5",0,1,0,0,0,0,0,0,0
"256",1,1,3570,2,256,444,"1",1,1,1,1,4,0,1,1,1
"257",1,1,2800,2,257,374,"1",0,0,0,0,0,1,1,1,0
"258",1,1,2995,2,258,462,"1",0,0,0,0,0,1,1,1,0
"259",1,0,2500,2,259,442,"5",1,1,1,1,1,0,0,0,1
"260",2,2,5795,2,260,437,"5",0,0,0,0,0,0,1,1,1
"261",1,2,3460,2,261,434,"2",1,1,1,1,0,1,1,1,1
"262",1,0,2000,3,262,456,"5",1,0,0,1,0,0,0,0,0
"263",1,0,2595,2,263,436,"2",0,1,1,0,1,0,0,0,0
"264",1,0,1950,2,264,438,"1",0,0,0,0,0,0,0,0,0
"265",1,0,2350,2,265,442,"5",0,0,1,0,0,1,1,1,0
"266",1,2,2999,1,266,462,"1",0,0,1,1,1,0,0,0,0
"267",1,1,3160,2,267,445,"1",0,1,1,0,1,0,1,1,0
"268",1,2,2000,2,268,438,"6",0,0,0,0,0,0,1,1,0
"269",1,0,2650,2,269,437,"1",1,0,0,1,1,1,1,1,0
"270",1,0,3138,2,270,455,"2",0,1,1,0,1,1,1,1,0
"271",1,2,3200,2,271,396,"1",0,1,1,1,1,0,0,0,0
"272",1,1,3850,2,272,448,"5",0,1,0,0,0,1,1,1,0
"273",1,2,2750,2,273,446,"5",0,0,0,1,0,0,0,0,0
"274",1,4,3200,2,274,454,"7",1,0,1,1,0,1,1,1,0
"275",1,1,3500,2,275,457,"1",1,1,1,1,1,1,1,1,1
"276",1,2,3000,2,276,439,"2",0,0,0,0,0,1,1,1,0
"277",1,2,5095,2,277,444,"1",1,0,0,1,0,1,1,1,0
"278",2,2,3850,2,278,449,"5",0,0,0,0,0,0,0,0,0
"279",1,0,2280,3,279,462,"5",1,1,1,1,1,0,0,0,0
"280",1,0,1850,2,280,451,"2",0,0,1,0,0,0,1,1,0
"281",1,2,3450,2,281,449,"1",0,0,0,0,0,0,0,0,0
"282",1,1,3250,2,282,435,"1",1,1,1,0,1,1,1,1,1
"283",1,2,2900,2,283,435,"2",0,0,0,0,0,0,0,0,0
"284",1,1,3350,2,284,449,"1",0,0,1,0,0,0,1,1,0
"285",1,1,1995,3,285,452,"2",0,0,0,0,0,0,1,1,0
"286",1,1,4195,2,286,393,"1",0,0,1,0,1,0,0,0,1
"287",1,2,1900,3,287,440,"7",0,0,1,1,1,0,1,1,0
"288",1,1,3850,2,288,445,"1",0,0,1,1,0,0,0,0,0
"289",1,1,2495,2,289,444,"1",0,0,0,0,0,1,1,1,0
"290",0,1,4475,2,290,444,"1",1,1,1,1,0,1,1,1,1
"291",1,0,1895,2,291,443,"5",0,0,0,1,1,0,0,0,0
"292",1,1,2487,3,292,452,"2",0,1,1,0,0,0,1,1,1
"293",1,3,5100,2,293,443,"5",0,0,0,1,1,0,0,0,0
"294",1,1,3640,2,294,452,"1",0,0,0,0,0,0,1,1,1
"295",1,2,2100,2,295,441,"7",0,0,0,1,0,1,1,1,0
"296",1,2,3505,3,296,446,"1",0,1,1,0,1,0,0,0,0
"297",1,3,2700,2,297,445,"7",0,0,0,1,0,1,1,1,0
"298",0,0,2775,2,298,457,"5",0,1,1,0,1,0,0,0,1
"299",1,0,2350,2,299,452,"5",1,1,1,1,1,0,0,0,0
"300",1,2,2250,3,300,452,"5",1,0,1,1,1,1,1,1,0
"301",1,0,2441,3,301,459,"2",1,0,1,0,2,0,0,0,1
"302",1,1,4250,2,302,457,"1",0,1,0,0,0,1,1,1,0
"303",1,1,2188,3,303,443,"5",1,0,0,1,1,0,0,0,0
"304",1,0,1825,2,304,462,"5",0,0,0,1,0,0,0,0,0
"305",1,1,2650,2,305,446,"1",0,0,0,1,0,0,0,0,0
"306",1,0,2190,2,306,454,"5",0,0,0,0,0,1,1,1,0
"307",1,0,2199,2,307,379,"5",1,0,0,1,1,1,1,1,0
"308",2,2,3600,3,308,444,"5",1,2,1,0,1,0,1,1,1
"309",1,1,4650,2,309,452,"1",1,0,1,1,0,0,0,0,0
"310",1,2,2500,2,310,449,"6",0,0,1,0,0,0,0,0,0
"311",1,3,2525,2,311,448,"7",0,0,1,1,0,1,1,1,0
"312",1,1,4500,2,312,452,"1",1,1,1,1,1,0,0,0,0
"313",1,0,2100,2,313,452,"5",0,0,1,0,0,0,0,0,0
"314",1,1,2350,2,314,458,"1",0,0,0,1,0,0,0,0,0
"315",3,3,14000,2,315,450,"1",1,0,0,1,1,0,0,0,0
"316",1,0,1400,2,316,446,"6",0,0,1,0,1,0,1,1,1
"317",1,1,2292,2,317,394,"1",1,0,0,1,0,0,0,0,0
"318",2,3,5850,3,318,389,"1",0,0,0,0,1,0,0,0,0
"319",1,0,1850,2,319,443,"5",0,0,0,1,0,0,0,0,0
"320",1,1,3095,2,320,445,"1",1,0,0,1,1,0,0,0,0
"321",1,0,6650,2,321,456,"2",0,0,0,0,0,1,1,1,0
"322",1,2,3295,2,322,460,"1",1,0,0,0,0,1,1,1,0
"323",2,2,7930,2,323,449,"5",0,0,0,0,0,1,1,1,0
"324",1,1,2999,3,324,437,"1",0,0,1,1,0,0,0,0,0
"325",1,0,2100,3,325,440,"5",0,0,1,0,1,0,0,0,0
"326",2,2,4800,2,326,437,"2",1,1,1,1,2,0,0,0,1
"327",1,2,3000,3,327,456,"2",1,0,1,1,1,0,0,0,0
"328",1,2,2195,1,328,399,"7",0,0,1,0,1,0,0,0,0
"329",1,1,2800,3,329,439,"1",1,1,1,1,1,0,0,0,0
"330",1,1,2599,2,330,440,"5",1,0,0,1,0,1,1,1,0
"331",1,0,1850,1,331,442,"5",0,0,0,0,1,0,1,1,0
"332",1,0,2575,2,332,460,"5",1,0,0,1,0,0,0,0,0
"333",2,2,4083,2,333,450,"2",0,1,1,0,2,0,1,1,1
"334",1,2,3600,2,334,442,"1",0,0,1,0,0,0,0,0,0
"335",1,0,2900,2,335,458,"2",0,1,0,0,0,0,0,0,1
"336",1,1,1925,2,336,456,"5",0,0,0,0,0,0,0,0,0
"337",1,1,3115,3,337,442,"5",1,1,1,1,2,0,1,0,0
"338",1,2,7000,2,338,441,"1",0,0,1,0,0,0,1,1,0
"339",1,2,2600,3,339,446,"1",0,0,0,0,0,0,0,0,0
"340",2,2,4000,2,340,448,"1",1,1,1,1,1,1,1,1,1
"341",1,1,2500,2,341,435,"5",0,0,0,1,0,0,0,0,0
"342",1,2,3400,2,342,440,"2",1,1,1,1,1,0,0,0,1
"343",1,2,3500,2,343,386,"1",0,0,0,0,0,0,0,0,0
"344",1,1,4295,3,344,440,"1",1,1,1,1,2,1,1,1,1
"345",2,4,3700,2,345,462,"7",1,0,1,1,1,0,0,0,0
"346",1,1,2500,2,346,452,"5",0,0,0,0,0,0,0,0,0
"347",1,2,3800,2,347,434,"1",1,0,1,1,0,0,0,0,0
"348",1,2,3950,2,348,442,"1",0,1,0,0,0,0,0,0,0
"349",1,3,4600,2,349,380,"2",1,0,0,1,1,0,0,0,0
"350",1,1,2600,3,350,438,"1",1,0,0,1,0,0,0,0,0
"351",1,1,2300,2,351,449,"5",0,1,1,1,1,0,0,0,0
"352",1,2,2400,3,352,450,"2",0,0,0,0,0,1,1,1,0
"353",1,2,3100,3,353,453,"1",1,1,1,0,1,0,0,0,1
"354",1,1,2995,1,354,398,"5",1,1,1,1,2,0,0,0,1
"355",1,1,2030,2,355,455,"6",1,0,1,1,1,0,0,0,0
"356",1,1,3940,2,356,459,"1",1,1,1,0,2,0,1,1,1
"357",1,1,1500,1,357,434,"7",0,0,0,0,0,0,0,0,0
"358",1,0,2350,3,358,462,"1",1,1,1,1,0,0,0,0,0
"359",1,3,4300,2,359,456,"1",0,0,0,1,0,0,0,0,0
"360",1,0,3381,2,360,458,"1",0,1,0,0,0,0,1,1,1
"361",2,2,5495,2,361,455,"1",1,0,1,1,1,1,1,1,0
"362",1,2,3495,3,362,434,"1",1,0,1,1,0,0,0,0,0
"363",2,2,7000,2,363,445,"1",1,1,1,1,2,1,1,1,1
"364",3,5,11257,2,364,395,"2",0,1,1,0,1,0,1,1,1
"365",1,0,2000,3,365,435,"2",0,0,0,0,0,0,0,0,0
"366",2,2,13000,2,366,456,"5",1,1,1,1,2,0,0,0,1
"367",1,2,3500,2,367,453,"1",0,0,1,0,1,0,0,0,0
"368",1,0,2100,2,368,449,"5",0,0,0,0,0,0,0,0,0
"369",3,3,15000,2,369,457,"5",1,1,1,1,2,0,0,0,1
"370",1,2,3300,2,370,459,"1",0,0,0,0,0,0,0,0,0
"371",1,2,2400,2,371,436,"5",0,0,0,0,0,0,1,0,0
"372",1,3,2850,2,372,399,"7",0,0,1,0,1,0,0,0,0
"373",1,3,2500,2,373,449,"5",0,0,0,0,0,0,0,0,0
